RRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRR
  075104       1       0                                                        
ILL TAS data in the new ASCII format follow afte the line VV..V                 
AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
      80                                                                        
IN12  internal use08-Apr-24 11:18:52                                            
VVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVV
INSTR: IN12
USER_: internal use
FILE_: 075104
DATE_: 08-Apr-24 11:18:52
TITLE: Internal use
TYPE_: tas
COMND: sc en 0 den 0.01 np 31 ti 1
POSQE: QH=  -0.3599, QK=   0.0000, QL=   0.8426, EN=  -0.1505, UN=meV
CURVE: MONO= auto, ANA= auto
STEPS: EN=   0.0100
PARAM: GONIO= 0
PARAM: DM=   3.35500, DA=   3.34200, KFIX=   1.10009
PARAM: SM= -1, SS=  1, SA= -1, FX=  2
PARAM: ALF1= 120.00, ALF2= 120.00, ALF3=  43.00, ALF4= 120.00
PARAM: BET1= 120.00, BET2= 120.00, BET3= 120.00, BET4= 120.00
PARAM: ETAM=  35.00, ETAA=  35.00
PARAM: AS=   6.28000, BS=   6.28000, CS=   6.28000
PARAM: AA=  90.00000, BB=  90.00000, CC=  90.00000, ETAS=   1.00000
PARAM: AX=  1.000, AY=  0.000, AZ=  0.000
PARAM: BX=  0.000, BY=  0.000, BZ=  1.000
VARIA: SELPOS=in
VARIA: SELSPEED=  10519
VARIA: A1      = -61.37, A2      =-122.79, A3      =  -0.01, A4      =  50.03
VARIA: A5      = -58.71, A6      =-117.41, GU      =   0.04, GL      =  -0.04
VARIA: A3P     =-326.45, GA      =   2.60, GM      =   0.01, RA      =  24.60
VARIA: RMV     =  28.25, RMH     =  82.97, TA      =   4.50, TM      =  -3.97
VARIA: GC      =  -0.01, DIA1X   =  62.24, DIA2X   =  87.92, DIA2Z   = 162.15
VARIA: I1      =   0.00, I2      =  -0.00, I3      =  -0.01, I4      =   0.00
VARIA: I5      =  -3.90, I6      =   1.65, I7      =   0.00, I8      =   0.00
VARIA: IH1     =   0.00, IH2     =   0.00
ZEROS: A1      =  -2.01, A2      =  -0.13, A3      =-180.00, A4      =  -0.23
ZEROS: A5      = -89.55, A6      =   0.17, GU      =   0.00, GL      =   0.00
ZEROS: A3P     =-125.45, GA      =   0.00, GM      =   0.00, RA      =   0.00
ZEROS: RMV     =   0.00, RMH     =   0.00, TA      =   0.00, TM      =   0.00
ZEROS: GC      =   0.00, DIA1X   =   0.00, DIA2X   =   0.00, DIA2Z   =   0.00
PARAM: IF1H=     1.555, IF1V=    -3.900, IF2H=     1.467, IF2V=     4.276
PARAM: TI=      1.00
PARAM: TT=      0.00, RT=      0.00
PARAM: REACTOR=54.69
FORMT:
DATA_:
Qh          Qk          Ql          En          CNTS
0.49697      0.49697      1            0.989899     2.1612e-72          nan          None          nan
0.5          0.5          1.0            0          0.524171
0.5          0.5          1.0            0.010101     0.517422          nan
0.5          0.5          1.0            0.020202     0.442779          nan
0.5          0.5          1.0            0.030303     0.371454          nan
0.5          0.5          1.0            0.040404     0.27446          nan
0.5          0.5          1.0            0.0505051    0.194774          nan
0.5          0.5          1.0            0.0606061    0.12561          nan
0.5          0.5          1.0            0.0707071    0.0669871          nan
0.5          0.5          1.0            0.0808081    0.0474774          nan
0.5          0.5          1.0            0.0909091    0.0217576          nan
0.5          0.5          1.0            0.10101      0.00874331          nan
0.5          0.5          1.0            0.111111     0.00488422          nan
0.5          0.5          1.0            0.121212     0.00260424          nan
0.5          0.5          1.0            0.131313     0.000242653          nan
0.5          0.5          1.0            0.141414     0.00056533          nan
0.5          0.5          1.0            0.151515     3.68678e-05          nan
0.5          0.5          1.0            0.161616     2.24073e-06          nan
0.5          0.5          1.0            0.171717     8.21244e-07          nan
0.5          0.5          1.0            0.181818     2.34018e-08          nan
0.5          0.5          1.0            0.191919     4.15468e-09          nan
0.5          0.5          1.0            0.20202      3.31398e-09          nan
0.5          0.5          1.0            0.212121     3.09622e-11          nan
0.5          0.5          1.0            0.222222     1.19013e-13          nan
0.5          0.5          1.0            0.232323     8.47765e-17          nan
0.5          0.5          1.0            0.242424     7.29586e-16          nan
0.5          0.5          1.0            0.252525     3.0236e-15          nan
0.5          0.5          1.0            0.262626     7.32134e-12          nan
0.5          0.5          1.0            0.272727     4.3777e-15          nan
0.5          0.5          1.0            0.282828     2.74656e-10          nan
0.5          0.5          1.0            0.292929     2.94901e-13          nan
0.5          0.5          1.0            0.30303      7.22086e-11          nan
0.5          0.5          1.0            0.313131     5.13451e-09          nan
0.5          0.5          1.0            0.323232     6.04266e-07          nan
0.5          0.5          1.0            0.333333     1.79417e-07          nan
0.5          0.5          1.0            0.343434     5.96162e-05          nan
0.5          0.5          1.0            0.353535     0.000789801          nan
0.5          0.5          1.0            0.363636     0.000520763          nan
0.5          0.5          1.0            0.373737     0.000375098          nan
0.5          0.5          1.0            0.383838     0.0019033          nan
0.5          0.5          1.0            0.393939     0.00206144          nan
0.5          0.5          1.0            0.40404      0.00217708          nan
0.5          0.5          1.0            0.414141     0.00742756          nan
0.5          0.5          1.0            0.424242     0.0137591          nan
0.5          0.5          1.0            0.434343     0.0160791          nan
0.5          0.5          1.0            0.444444     0.0366615          nan
0.5          0.5          1.0            0.454545     0.0587603          nan
0.5          0.5          1.0            0.464646     0.103162          nan
0.5          0.5          1.0            0.474747     0.163086          nan
0.5          0.5          1.0            0.484848     0.211924          nan
0.5          0.5          1.0            0.494949     0.28816          nan
0.5          0.5          1.0            0.505051     0.350454          nan
0.5          0.5          1.0            0.515152     0.416353          nan
0.5          0.5          1.0            0.525253     0.441732          nan
0.5          0.5          1.0            0.535354     0.43966          nan
0.5          0.5          1.0            0.545455     0.395942          nan
0.5          0.5          1.0            0.555556     0.346057          nan
0.5          0.5          1.0            0.565657     0.26973          nan
0.5          0.5          1.0            0.575758     0.190357          nan
0.5          0.5          1.0            0.585859     0.128355          nan
0.5          0.5          1.0            0.59596      0.095493          nan
